SKU,Disponibilidade,Preço de,Preço à vista no Pix,Parcelamento no cartão,Processador,Cooler,Placa Mãe,Memória,Armazenamento,Placa de Vídeo,Fonte,Gabinete,Cabo de Vídeo,Cabo de Força,Monitor,Kit Periféricos
SKU: PCM-Pichau-Gamer-57811,PRODUTO DISPONÍVEL,4366.76,"R$ 2.849,99","em até 12x de R$ 279,41","1 x Processador AMD Ryzen 7 5700, 8-Core, 16-Threads, 3.7GHz (4.6GHz Turbo), Cache 20MB, 100-100000743BOX","1 x Placa Mae Mancer A520M DX, DDR4, Socket AMD AM4, M-ATX, Chipset AMD A520, MCR-A520M-DXV4","2 x Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C19, MCR-DTLZ-8GB","1 x SSD Mancer Reaper S, 480GB, 2.5, Sata III 6GB/s, Leitura 500MB/s, Gravacao 450MB/s, MCR-RPR480-OEM","1 x Placa de Video Mancer Radeon RX 590 Streaky WB, 8GB, GDDR5, 256-bit, MCR-RX5908GB-STKWB","1 x Fonte Aigo Darkflash AT550, 550W, 80 Plus Bronze, Preto, AG-AT550-BK","1 x Gabinete Gamer Mancer Narok, RGB, Mid-Tower, Lateral de Vidro, Com 3 Fans, Preto, MCR-NRK-RGB01","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57807,PRODUTO DISPONÍVEL,12227.52,"R$ 7.845,03","em até 12x de R$ 769,12","1 x Processador Intel Core i7-12700K, 12-Core, 20-Threads, 3.6GHz (5.0GHz Turbo), Cache 25MB, LGA1700, I7-12700K-TRAY","1 x Water Cooler Mancer Mystic G1, ARGB, 240mm, Preto, MCR-MTC240-BK01","1 x Placa Mae Gigabyte B760M Aorus Elite, DDR5, Socket LGA 1700, M-ATX, Chipset Intel B760, B760M-AORUS-ELITE","1 x Memoria Team Group T-Force Delta A, RGB, 16GB (1x16GB), DDR5, 5600MHz, CL40, Preta, FF7D516G5600HC40B01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video Galax GeForce RTX 5060 1-Click OC, 8GB, GDDR7, 128-bit, 56NSN8MDDCOC","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Pichau Pouter 3 RGB Lateral De Vidro Preto, PG-P03-RGB","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57803,PRODUTO DISPONÍVEL,14233.8,"R$ 9.529,97","em até 12x de R$ 934,31","1 x Processador Intel Core i7-14700KF, 20-Core, 28-Threads, 3.4GHz (5.6GHz Turbo), Cache 33MB, LGA1700, I7-14700KF-TRAY","1 x Water Cooler Pichau Lunara, ARGB, 240mm, Preto, PG-LR240-BK01","1 x Placa Mae Gigabyte B760M Aorus Elite, DDR5, Socket LGA 1700, M-ATX, Chipset Intel B760, B760M-AORUS-ELITE","1 x Memoria Pichau Orion, 16GB (1x16GB), DDR5, 5600MHz, C38, PCH-ORI-16GB","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video Asus GeForce RTX 5060 Ti Dual OC, 16GB, GDDR7, 128-bit, DUAL-RTX5060TI-O16G","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV300, Mid-Tower, Lateral de Vidro, Preto, MCR-CV300-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57799,PRODUTO DISPONÍVEL,6967.7,"R$ 4.445,34","em até 12x de R$ 435,82","1 x Processador Intel Core i3-12100F, 4-Core, 8-Threads, 3.3GHz ( 4.3GHz Turbo), Cache 12MB, LGA1700, I3-12100F-TRAY","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae ASRock H610M-HVS/M.2 R2.0, Socket LGA1700, M-ATX, Chipset Intel H610, H610M-HVS-M.2-R2","2 x Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C19, MCR-DTLZ-8GB","1 x SSD Mancer Reaper C, 1TB, 2.5, Sata III 6GB/s, Leitura 500MB/s, Gravacao 450MB/s, MCR-RPRC-1TB","1 x Placa de Video Galax GeForce RTX 5060 1-Click OC, 8GB, GDDR7, 128-bit, 56NSN8MDDCOC","1 x Fonte Mancer Thunder 600W 80 Plus Bronze, MCR-THR600-BL01","1 x Gabinete Gamer Mancer Grimore, Mini-Tower, Lateral de Vidro, 2 Fans Rainbow, Preto, MCR-GRM-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57787,PRODUTO DISPONÍVEL,3673.95,"R$ 2.299,98","em até 12x de R$ 225,49","1 x Processador Intel Core i3-12100F, 4-Core, 8-Threads, 3.3GHz ( 4.3GHz Turbo), Cache 12MB, LGA1700, I3-12100F-TRAY","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae Pichau Alphard H610M-TSC, DDR4, LGA1700, M-ATX, Chipset Intel H610, PCH-ALPH610M-TSC","2 x Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C19, MCR-DTLZ-8GB","1 x SSD Pichau Rover S, 512GB, M.2 2280, PCIe NVMe, Leitura 3300MB/s, Gravacao 2000MB/s, PCH-RVRS-512","1 x Placa de Video Mancer Radeon RX 590 Streaky WB, 8GB, GDDR5, 256-bit, MCR-RX5908GB-STKWB","1 x Fonte Mancer Thunder 400W, 80 Plus Bronze, MCR-THR400-BL01-OEM","1 x Gabinete Gamer TGT Legion, Mini-Tower, Lateral de Vidro, Preto, TGT-LGN-BK","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento
SKU: PCM-Pichau-Gamer-57772,PRODUTO INDISPONÍVEL,9700.64,"R$ 6.183,78","em até 12x de R$ 606,25","1 x Processador Intel Core i5-14400F, 10-Core, 16-Threads, 3.5GHz (4.7GHz Turbo), Cache 20MB, LGA1700, I5-14400F-OEM","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae Asus Prime H610M-A, DDR5, Socket LGA 1700, M-ATX, Chipset Intel H610, PRIME-H610M-A","1 x Memoria Pichau Orion, 16GB (1x16GB), DDR5, 5600MHz, C38, PCH-ORI-16GB","1 x SSD Lexar NM610 Pro, 1TB, M.2 2280, PCIe NVMe, Leitura 3300MB/s, Gravacao 2600MB/s, LNM610P001T-RNNNU","1 x Placa de Video Gigabyte GeForce RTX 5060 Ti Windforce, 8GB, GDDR7, 128-bit, GV-N506TWF2-8GD","1 x Fonte Mancer Thunder 600W 80 Plus Bronze, MCR-THR600-BL01","1 x Gabinete Gamer Mancer CV700L, Mid Tower, Lateral De Vidro, 3 Fans ARGB, Preto, MCR-CV700L-BK3F","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57769,PRODUTO DISPONÍVEL,13298.5,"R$ 8.199,97","em até 12x de R$ 803,92","1 x Processador Intel Core i7-14700KF, 20-Core, 28-Threads, 3.4GHz (5.6GHz Turbo), Cache 33MB, LGA1700, I7-14700KF-TRAY","1 x Water Cooler Pichau Lunara, ARGB, 240mm, Preto, PG-LR240-BK01","1 x Placa Mae Gigabyte B760M Aorus Elite, DDR5, Socket LGA 1700, M-ATX, Chipset Intel B760, B760M-AORUS-ELITE","1 x Memoria Pichau Orion, 16GB (1x16GB), DDR5, 5600MHz, C38, PCH-ORI-16GB","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video Gigabyte GeForce RTX 5060 Ti Windforce, 8GB, GDDR7, 128-bit, GV-N506TWF2-8GD","1 x Fonte Mancer Thunder 600W 80 Plus Bronze, MCR-THR600-BL01","1 x Gabinete Gamer Mancer CV300, Mid-Tower, Lateral de Vidro, Preto, MCR-CV300-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57765,PRODUTO INDISPONÍVEL,8591.5,"R$ 5.489,50","em até 12x de R$ 538,19","1 x Processador Intel Core i5-14400F, 10-Core, 16-Threads, 3.5GHz (4.7GHz Turbo), Cache 20MB, LGA1700, I5-14400F-OEM","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae Asus Prime H610M-A, DDR5, Socket LGA 1700, M-ATX, Chipset Intel H610, PRIME-H610M-A","1 x Memoria Pichau Orion, 16GB (1x16GB), DDR5, 5600MHz, C38, PCH-ORI-16GB","1 x SSD Lexar NM610 Pro, 1TB, M.2 2280, PCIe NVMe, Leitura 3300MB/s, Gravacao 2600MB/s, LNM610P001T-RNNNU","1 x Placa de Video Galax GeForce RTX 5060 1-Click OC, 8GB, GDDR7, 128-bit, 56NSN8MDDCOC","1 x Fonte Mancer Thunder 600W 80 Plus Bronze, MCR-THR600-BL01","1 x Gabinete Gamer Pichau Apus RGB, Mid-Tower, Lateral de Vidro Temperado, Com 3 Fans, Preto, PG-APS-RGB01","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57764,PRODUTO INDISPONÍVEL,7421.8,"R$ 4.534,23","em até 12x de R$ 444,53","1 x Processador Intel Core i5-14400F, 10-Core, 16-Threads, 3.5GHz (4.7GHz Turbo), Cache 20MB, LGA1700, I5-14400F-OEM","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae Asus Prime H610M-A, DDR5, Socket LGA 1700, M-ATX, Chipset Intel H610, PRIME-H610M-A","1 x Memoria Pichau Orion, 16GB (1x16GB), DDR5, 5600MHz, C38, PCH-ORI-16GB","1 x SSD Pichau Rover S, 512GB, M.2 2280, PCIe NVMe, Leitura 3300MB/s, Gravacao 2000MB/s, PCH-RVRS-512","1 x Placa de Video INNO3D GeForce RTX 3060 Twin X2, 12GB, GDDR6, 192-bit, N30602-12D6-119032AH","1 x Fonte Aigo Darkflash AT550, 550W, 80 Plus Bronze, Preto, AG-AT550-BK","1 x Gabinete Gamer Mancer Narok, RGB, Mid-Tower, Lateral de Vidro, Com 3 Fans, Preto, MCR-NRK-RGB01","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57763,PRODUTO INDISPONÍVEL,5300.91,"R$ 2.607,44","em até 12x de R$ 255,63","1 x Processador Intel Core i5-14400F, 10-Core, 16-Threads, 3.5GHz (4.7GHz Turbo), Cache 20MB, LGA1700, I5-14400F-OEM","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae Asus Prime H610M-A, DDR5, Socket LGA 1700, M-ATX, Chipset Intel H610, PRIME-H610M-A","1 x Memoria Pichau Orion, 16GB (1x16GB), DDR5, 5600MHz, C38, PCH-ORI-16GB","1 x SSD Pichau Rover S, 512GB, M.2 2280, PCIe NVMe, Leitura 3300MB/s, Gravacao 2000MB/s, PCH-RVRS-512","1 x Fonte Mancer Thunder 600W 80 Plus Bronze, MCR-THR600-BL01","1 x Gabinete Gamer Mancer Goblin V2, Mid Tower, Lateral De Vidro, Com 3 Fans Rainbow, Preto, MCR-GBNV2-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento,Sem item no momento
