SKU,Disponibilidade,Preço de,Preço à vista no Pix,Parcelamento no cartão,Processador,Cooler,Placa Mãe,Memória,Armazenamento,Placa de Vídeo,Fonte,Gabinete,Cabo de Vídeo,Cabo de Força,Monitor,Kit Periféricos
SKU: PCM-Pichau-Gamer-58022,PRODUTO DISPONÍVEL,10863.54,"R$ 6.960,64","em até 12x de R$ 682,42","1 x Processador Intel Core i7-12700F, 12-Core, 20-Threads, 2.1GHz (4.9GHz Turbo), Cache 25MB, LGA1700, BX8071512700F","1 x Placa Mae MSI Pro B760M-E DDR4, Socket LGA1700, M-ATX, Chipset Intel B760, PRO-B760M-E-DDR4","1 x Memoria Team Group T-Force Delta RGB 16GB (2x8) DDR4 3200Mhz Preta, TF3D416G3200HC16CDC01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video XFX Radeon RX 9060 XT Swift Gaming Edition OC, 16GB, GDDR6, 128-bit, RX-96TSW16BQ","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV500L, Mid Tower, Lateral De Vidro, Preto, MCR-CV500L-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-58021,PRODUTO DISPONÍVEL,9645.59,"R$ 6.285,42","em até 12x de R$ 616,22",,,"1 x Memoria Team Group T-Force Delta RGB 16GB (2x8) DDR4 3200Mhz Preta, TF3D416G3200HC16CDC01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video XFX Radeon RX 9060 XT Gaming Edition OC, 8GB, GDDR6, 128-bit, RX-96TSW8GBQ","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV500L, Mid Tower, Lateral De Vidro, Preto, MCR-CV500L-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-58022,PRODUTO DISPONÍVEL,10863.54,"R$ 6.960,64","em até 12x de R$ 682,42","1 x Processador Intel Core i7-12700F, 12-Core, 20-Threads, 2.1GHz (4.9GHz Turbo), Cache 25MB, LGA1700, BX8071512700F","1 x Placa Mae MSI Pro B760M-E DDR4, Socket LGA1700, M-ATX, Chipset Intel B760, PRO-B760M-E-DDR4","1 x Memoria Team Group T-Force Delta RGB 16GB (2x8) DDR4 3200Mhz Preta, TF3D416G3200HC16CDC01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video XFX Radeon RX 9060 XT Swift Gaming Edition OC, 16GB, GDDR6, 128-bit, RX-96TSW16BQ","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV500L, Mid Tower, Lateral De Vidro, Preto, MCR-CV500L-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-58021,PRODUTO DISPONÍVEL,9645.59,"R$ 6.285,42","em até 12x de R$ 616,22","1 x Processador Intel Core i7-12700F, 12-Core, 20-Threads, 2.1GHz (4.9GHz Turbo), Cache 25MB, LGA1700, BX8071512700F","1 x Placa Mae MSI Pro B760M-E DDR4, Socket LGA1700, M-ATX, Chipset Intel B760, PRO-B760M-E-DDR4","1 x Memoria Team Group T-Force Delta RGB 16GB (2x8) DDR4 3200Mhz Preta, TF3D416G3200HC16CDC01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video XFX Radeon RX 9060 XT Gaming Edition OC, 8GB, GDDR6, 128-bit, RX-96TSW8GBQ","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV500L, Mid Tower, Lateral De Vidro, Preto, MCR-CV500L-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-58019,PRODUTO DISPONÍVEL,10951.95,"R$ 6.999,97","em até 12x de R$ 686,27",,,"1 x Memoria Team Group T-Force Delta RGB 16GB (2x8) DDR4 3200Mhz Preta, TF3D416G3200HC16CDC01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video XFX Radeon RX 7700 XT SWFT 210 Speedster, 12GB, GDDR6, 192-bit, RX-77TSWFTFP","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV500L, Mid Tower, Lateral De Vidro, Preto, MCR-CV500L-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-58018,PRODUTO DISPONÍVEL,14674.87,"R$ 9.399,96","em até 12x de R$ 921,56",,,"1 x Placa Mae MSI MAG B760 Tomahawk WIFI, DDR5, Socket LGA 1700, Chipset B760, MAG-B760-TOMAHAWK-WIFI","2 x Memoria Team Group T-Force Delta A, RGB, 16GB (1x16GB), DDR5, 5600MHz, CL40, Preta, FF7D516G5600HC40B01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video Asus GeForce RTX 5060 Ti Dual OC, 16GB, GDDR7, 128-bit, DUAL-RTX5060TI-O16G","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Pichau Pouter 3 RGB Lateral De Vidro Preto, PG-P03-RGB","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-57983,PRODUTO DISPONÍVEL,8877.6,"R$ 5.779,98","em até 12x de R$ 566,66",,,"1 x Placa Mae 3Green H510-DA1, DDR4, LGA1200, ATX, Chipset Intel H510, 79296","2 x Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C19, MCR-DTLZ-8GB","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video Gainward GeForce RTX 5060 Ghost, 8GB, GDDR7, 128-bit, NE75060019P1-GB2063B-NAC","1 x Fonte Pichau Nidus 650L, 650W, 80 Plus Bronze, Preto, PG-NDL650-01BR","1 x Gabinete Gamer Mancer Goblin V2, Mid Tower, Lateral De Vidro, Com 3 Fans Rainbow, Preto, MCR-GBNV2-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Monitor Gamer Mancer Horizon Z PRO, 27 Pol. VA, FHD, 1ms, 165Hz, FreeSync, HDMI/DP, MCR-HZNP27-BL01","1 x Combo Gamer Mancer ORC V2 4x1, Rainbow, Teclado ABNT2, Mouse 6400DPI, Mousepad Pequeno, Headset Drivers 40mm, MRC-ORC2-RBW01"
SKU: PCM-Pichau-Gamer-57878,PRODUTO DISPONÍVEL,9363.29,"R$ 5.945,88","em até 12x de R$ 582,93","1 x Processador Intel Core i5-12400F, 6-Core, 12-Threads, 2.5GHz (4.4GHz Turbo), Cache 18MB, LGA1700, I5-12400F-TRAY","1 x Cooler para Processador TGT F22, 92mm, TGT-F22-01","1 x Placa Mae ASRock H610M-HVS/M.2 R2.0, Socket LGA1700, M-ATX, Chipset Intel H610, H610M-HVS-M.2-R2","2 x Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C19, MCR-DTLZ-8GB","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video Gainward GeForce RTX 5060 Ghost, 8GB, GDDR7, 128-bit, NE75060019P1-GB2063B-NAC","1 x Fonte Pichau Nidus 650L, 650W, 80 Plus Bronze, Preto, PG-NDL650-01BR","1 x Gabinete Gamer Mancer Goblin V2, Mid Tower, Lateral De Vidro, Com 3 Fans Rainbow, Preto, MCR-GBNV2-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Monitor Gamer Mancer Horizon Z PRO, 27 Pol. VA, FHD, 1ms, 165Hz, FreeSync, HDMI/DP, MCR-HZNP27-BL01","1 x Combo Gamer Mancer ORC V2 4x1, Rainbow, Teclado ABNT2, Mouse 6400DPI, Mousepad Pequeno, Headset Drivers 40mm, MRC-ORC2-RBW01"
SKU: PCM-Pichau-Gamer-38388,PRODUTO DISPONÍVEL,5840.16,"R$ 3.599,97","em até 12x de R$ 352,94",,,"1 x Placa Mae Pichau Alphard H610M-TSC, DDR4, LGA1700, M-ATX, Chipset Intel H610, PCH-ALPH610M-TSC","2 x Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C19, MCR-DTLZ-8GB","1 x SSD Pichau Rover, 512GB, M.2 2280, PCIe NVMe, Leitura 3500 MB/s, Gravacao 1800 MB/s, PCH-RVR-512","1 x Placa de Video XFX Radeon RX 6600 Speedster SWFT 210, 8GB, GDDR6, 128-bit, RX-66XL8LFDQ","1 x Fonte Aigo Darkflash Storm S500, 500W, 80 Plus White, DF-STORM-S500","1 x Gabinete Gamer Mancer Narok, RGB, Mid-Tower, Lateral de Vidro, Com 3 Fans, Preto, MCR-NRK-RGB01","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01",Sem item no momento,Sem item no momento
SKU: PCM-Pichau-Gamer-58022,PRODUTO DISPONÍVEL,10863.54,"R$ 6.960,64","em até 12x de R$ 682,42","1 x Processador Intel Core i7-12700F, 12-Core, 20-Threads, 2.1GHz (4.9GHz Turbo), Cache 25MB, LGA1700, BX8071512700F","1 x Placa Mae MSI Pro B760M-E DDR4, Socket LGA1700, M-ATX, Chipset Intel B760, PRO-B760M-E-DDR4","1 x Memoria Team Group T-Force Delta RGB 16GB (2x8) DDR4 3200Mhz Preta, TF3D416G3200HC16CDC01","1 x SSD Kingston NV3, 1TB, M.2 2280, PCIe NVMe, Leitura 6000MB/s, Gravacao 4000MB/s, SNV3S-1000G","1 x Placa de Video XFX Radeon RX 9060 XT Swift Gaming Edition OC, 16GB, GDDR6, 128-bit, RX-96TSW16BQ","1 x Fonte Pichau Cluster, 850W, PCIe 5.0, Full Modular, Cybenetics Gold, Preto, PG-CL850-BK01","1 x Gabinete Gamer Mancer CV500L, Mid Tower, Lateral De Vidro, Preto, MCR-CV500L-BK","1 x Cabo HDMI Pichau 1.8m, 5001-1A","1 x Cabo de Forca Pichau, 1.5m, 3 Pinos, Preto, PG-PWC-BL01","1 x Kit Ventoinhas Aigo Darkflash CL12, Rainbow, 3x120mm, Preto, RAINBOW-CL12-3IN1",Sem item no momento,Sem item no momento
